,id,quotes,authors
1366,1367,fallacies and not the correct explanations. But here follows a refutation of their reasonings independently of the texts. This is the difference.With regard to this the Sathkhyas,adi shankaracharya
2869,2870,The only real power comes out of a long rifle.,stalin
1912,1913,"The less you eat, drink, buy books, go to the theatre or to balls, or to the pub, and the less you think, love, theorize, sing, paint, fence, etc., the more you will be able to save and the greater will become your treasure which neither moth nor rust will corrupt—your capital. The less you are, the less you express your life, the more you have, the greater is your alienated life and the greater is the saving of your alienated being.",karl marx
2781,2782,"It doesnt matter how many people vote, only who counts them.",stalin
1968,1969,"The bourgeoisie cannot exist without constantly revolutionizing the instruments of production, and thereby the relations of production, and with them the whole relations of society. Conservation of the old modes of production in unaltered forms, was, on the contrary, the first condition of existence for all earlier industrial classes. Constant revolutionizing of production, uninterrupted disturbance of all social conditions, everlasting uncertainty and agitation, distinguish the bourgeois epoch from all earlier ones. All fixed, fast-frozen relations, with their train of ancient and venerable prejudices and opinions, are swept away; all new-formed ones become antiquated before they can ossify. All that is solid melts into air, all that is holy is profaned, and man is at last compelled to face with sober senses his real conditions of life and his relations with his kind.",karl marx
679,680,There is truth in wine and children,plato
2726,2727,"Advance towards socialism cannot but cause the exploiting elements to resist the advance, and the resistance of the exploiters cannot but lead to the inevitable sharpening of the class struggle.",stalin
533,534,"With savages, the weak in body or mind are soon eliminated; and those that survive commonly exhibit a vigorous state of health. We civilised men, on the other hand, do our utmost to check the process of elimination; we build asylums for the imbecile, the maimed, and the sick; we institute poor-laws; and our medical men exert their utmost skill to save the life of every one to the last moment. There is reason to believe that vaccination has preserved thousands, who from a weak constitution would formerly have succumbed to small-pox. Thus the weak members of civilised societies propagate their kind. No one who has attended to the breeding of domestic animals will doubt that this must be highly injurious to the race of man. It is surprising how soon a want of care, or care wrongly directed, leads to the degeneration of a domestic race; but excepting in the case of man himself, hardly any one is so ignorant as to allow his worst animals to breed.The aid which we feel impelled to give to the helpless is mainly an incidental result of the instinct of sympathy, which was originally acquired as part of the social instincts, but subsequently rendered, in the manner previously indicated, more tender and more widely diffused. Nor could we check our sympathy, if so urged by hard reason, without deterioration in the noblest part of our nature. The surgeon may harden himself whilst performing an operation, for he knows that he is acting for the good of his patient; but if we were intentionally to neglect the weak and helpless, it could only be for a contingent benefit, with a certain and great present evil. Hence we must bear without complaining the undoubtedly bad effects of the weak surviving and propagating their kind; but there appears to be at least one check in steady action, namely the weaker and inferior members of society not marrying so freely as the sound; and this check might be indefinitely increased, though this is more to be hoped for than expected, by the weak in body or mind refraining from marriage.",charles darwin
1945,1946,"If anything is certain, it is that I myself am not a Marxist.In a letter about the peculiar 'Marxism' which arose in France 1882",karl marx
2183,2184,The only good is knowledge and the only evil is ignorance.,socrates
1871,1872,"The bourgeoisie, wherever it has got the upper hand, has put an end to all feudal, patriarchal, idyllic relations. It has pitilessly torn asunder the motley feudal ties that bound man to his 'natural superiors,' and has left remaining no other nexus between man and man than naked self-interest, callous 'cash payment.' It has drowned the most heavenly ecstasies of religious fervor, of chivalrous enthusiasm, of philistine sentimentalism, in the icy water of egotistical calculation. It has resolved personal worth into exchange value, and in place of the numberless indefeasible chartered freedoms, has set up that single, unconscionable freedom—Free Trade. In one word, for exploitation, veiled by religious and political illusions, it has substituted naked, shameless, direct, brutal exploitation.The bourgeoisie has stripped of its halo every occupation hitherto honored and looked up to with reverent awe. It has converted the physician, the lawyer, the priest, the poet, the man of science, into its paid wage laborers.The bourgeoisie has torn away from the family its sentimental veil, and has reduced the family relation to a mere money relation.",karl marx
2540,2541,"If freedom is short of weapons, we must compensate with willpower.",adolf hitler
404,405,Blushing is the most peculiar and most human of all expressions.,charles darwin
835,836,"In politics we presume that everyone who knows how to get votes knows how to administer a city or a state. When we are ill... we do not ask for the handsomest physician, or the most eloquent one.",plato
310,311,The mystery of the beginning of all things is insoluble by us; and I for one must be content to remain an agnostic.,charles darwin
260,261,The fire that warms us can also consume us; it is not the fault of the fire.,swami vivekanand
1135,1136,The high-minded man must care more for the truth than for what people think.,aristotle
2739,2740,Quantity has a quality all its own.,stalin
1822,1823,"The less you eat, drink, buy books, go to the theatre or to balls, or to the pub, and the less you think, love, theorize, sing, paint, fence, etc., the more you will be able to save and the greater will become your treasure which neither moth nor rust will corrupt—your capital. The less you are, the less you express your life, the more you have, the greater is your alienated life and the greater is the saving of your alienated being.",karl marx
2695,2696,We don't let them have ideas. Why would we let them have guns?,stalin
2632,2633,"The state must declare the child to be the most precious treasure of the people. As long as the government is perceived as working for the benefit of the children, the people will happily endure almost any curtailment of liberty and almost any deprivation.",adolf hitler
1003,1004,"Patience is bitter, but its fruit is sweet.",aristotle
2283,2284,"There is only one good, knowledge, and one evil, ignorance.",socrates
1840,1841,"A specter is haunting Europe—the specter of Communism. All the powers of old Europe have entered into a holy alliance to exorcise this specter; Pope and Czar, Metternich and Guizot, French radicals and German police spies.Where is the party in opposition that has not been decried as Communistic by its opponents in power? Where the opposition that has not hurled back the branding reproach of Communism, against the more advanced opposition parties, as well as against its reactionary adversaries?Two things result from this fact.I. Communism is already acknowledged by all European powers to be in itself a power.II. It is high time that Communists should openly, in the face of the whole world, publish their views, their aims, their tendencies, and meet this nursery tale of the Specter of Communism with a Manifesto of the party itself.",karl marx
2264,2265,"Sometimes you put walls up not to keep people out, but to see who cares enough to break them down.",socrates
1322,1323,When the Great Reality is not known the study of the scriptures is fruitless; when the Great Reality is known the study of the scriptures is also fruitless.,adi shankaracharya
688,689,"When men speak ill of thee, live so as nobody may believe them.",plato
2651,2652,"It is difficult for me to imagine what personal liberty is enjoyed by an unemployed person, who goes about hungry, and cannot find employment.Real liberty can exist only where exploitation has been abolished, where there is no oppression of some by others, where there is no unemployment and poverty, where a man is not haunted by the fear of being tomorrow deprived of work, of home and of bread. Only in such a society is real, and not paper, personal and every other liberty possible.",stalin
2847,2848,History shows that there are no invincible armies.,stalin
1182,1183,"Those who educate children well are more to be honored than they who produce them; for these only gave them life, those the art of living well.",aristotle
549,550,"...Whilst on board the Beagle I was quite orthodox, and I remember being heartily laughed at by several of the officers... for quoting the Bible as an unanswerable authority on some point of morality... But I had gradually come by this time, i.e., 1836 to 1839, to see that the Old Testament from its manifestly false history of the world, with the Tower of Babel, the rainbow at sign, &c., &c., and from its attributing to God the feelings of a revengeful tyrant, was no more to be trusted than the sacred books of the Hindoos, or the beliefs of any barbarian....By further reflecting that the clearest evidence would be requisite to make any sane man believe in the miracles by which Christianity is supported, (and that the more we know of the fixed laws of nature the more incredible do miracles become), that the men at that time were ignorant and credulous to a degree almost uncomprehensible by us, that the Gospels cannot be proved to have been written simultaneously with the events, that they differ in many important details, far too important, as it seemed to me, to be admitted as the usual inaccuracies of eyewitnesses; by such reflections as these, which I give not as having the least novelty or value, but as they influenced me, I gradually came to disbelieve in Christianity as a divine revelation. The fact that many false religions have spread over large portions of the earth like wild-fire had some weight with me. Beautiful as is the morality of the New Testament, it can be hardly denied that its perfection depends in part on the interpretation which we now put on metaphors and allegories.But I was very unwilling to give up my belief... Thus disbelief crept over me at a very slow rate, but was at last complete. The rate was so slow that I felt no distress, and have never since doubted even for a single second that my conclusion was correct. I can indeed hardly see how anyone ought to wish Christianity to be true; for if so the plain language of the text seems to show that the men who do not believe, and this would include my Father, Brother and almost all of my friends, will be everlastingly punished. And this is a damnable doctrine.",charles darwin
2689,2690,The only real power comes out of a long rifle.,stalin
1707,1708,"One of the things I learned when I was negotiating was that until I changed myself, I could not change others.",nelson mandela
1237,1238,"Yeilding to the power of rajas, he identifies himself with the many motions and changes of the mind. Therefore he is swept hither and thither, now rising, now sinking, in the boundless ocean of birth and death, whose waters are full of the poison of sense-objects. This is indeed a miserable fate.",adi shankaracharya
755,756,"Do not train a child to learn by force or harshness; but direct them to it by what amuses their minds, so that you may be better able to discover with accuracy the peculiar bent of the genius of each.",plato
1879,1880,"The ideas of the ruling class are in every epoch the ruling ideas, i.e. the class which is the ruling material force of society, is at the same time its ruling intellectual force. The class which has the means of material production at its disposal, has control at the same time over the means of mental production, so that thereby, generally speaking, the ideas of those who lack the means of mental production are subject to it. The ruling ideas are nothing more than the ideal expression of the dominant material relationships, the dominant material relationships grasped as ideas.",karl marx
607,608,"According to Greek mythology, humans were originally created with four arms, four legs and a head with two faces. Fearing their power, Zeus split them into two separate parts, condemning them to spend their lives in search of their other halves.",plato
535,536,"The following proposition seems to me in a high degree probable—namely, that any animal whatever, endowed with well-marked social instincts, the parental and filial affections being here included, would inevitably acquire a moral sense or conscience, as soon as its intellectual powers had become as well, or nearly as well developed, as in man. For, firstly, the social instincts lead an animal to take pleasure in the society of its fellows, to feel a certain amount of sympathy with them, and to perform various services for them.",charles darwin
81,82,"Learn Everything that is Good from Others, but bring it in, and in your own way absorb it; do not become others.",swami vivekanand
1402,1403,"Sickness is not cured by saying 'Medicine,' but by drinking it;",adi shankaracharya
922,923,It is not enough to win a war; it is more important to organize the peace.,aristotle
2090,2091,Death may be the greatest of all human blessings.,socrates
821,822,One of the penalties of refusing to participate in politics is that you end up being governed by your inferiors.,plato
2453,2454,The very first essential for success is a perpetually constant and regular employment of violence.,adolf hitler
1791,1792,Religion is the impotence of the human mind to deal with occurrences it cannot understand.,karl marx
205,206,"We are responsible for what we are, and whatever we wish ourselves to be, we have the power to make ourselves. If what we are now has been the result of our own past actions, it certainly follows that whatever we wish to be in the future can be produced by our present actions; so we have to know how to act.",swami vivekanand
1514,1515,"I am not a saint, unless you think of a saint as a sinner who keeps on trying.",nelson mandela
630,631,"Be kind, for everyone you meet is fighting a harder battle.",plato
2919,2920,Quantity has a quality all its own.,stalin
429,430,"...Whilst on board the Beagle I was quite orthodox, and I remember being heartily laughed at by several of the officers... for quoting the Bible as an unanswerable authority on some point of morality... But I had gradually come by this time, i.e., 1836 to 1839, to see that the Old Testament from its manifestly false history of the world, with the Tower of Babel, the rainbow at sign, &c., &c., and from its attributing to God the feelings of a revengeful tyrant, was no more to be trusted than the sacred books of the Hindoos, or the beliefs of any barbarian....By further reflecting that the clearest evidence would be requisite to make any sane man believe in the miracles by which Christianity is supported, (and that the more we know of the fixed laws of nature the more incredible do miracles become), that the men at that time were ignorant and credulous to a degree almost uncomprehensible by us, that the Gospels cannot be proved to have been written simultaneously with the events, that they differ in many important details, far too important, as it seemed to me, to be admitted as the usual inaccuracies of eyewitnesses; by such reflections as these, which I give not as having the least novelty or value, but as they influenced me, I gradually came to disbelieve in Christianity as a divine revelation. The fact that many false religions have spread over large portions of the earth like wild-fire had some weight with me. Beautiful as is the morality of the New Testament, it can be hardly denied that its perfection depends in part on the interpretation which we now put on metaphors and allegories.But I was very unwilling to give up my belief... Thus disbelief crept over me at a very slow rate, but was at last complete. The rate was so slow that I felt no distress, and have never since doubted even for a single second that my conclusion was correct. I can indeed hardly see how anyone ought to wish Christianity to be true; for if so the plain language of the text seems to show that the men who do not believe, and this would include my Father, Brother and almost all of my friends, will be everlastingly punished. And this is a damnable doctrine.",charles darwin
510,511,"If I had my life to live over again, I would have made a rule to read some poetry and listen to some music at least once every week.",charles darwin
2675,2676,Death is the solution to all problems. No man - no problem.,stalin
2867,2868,"Take some exercise, try to recover the look of a human being.",stalin
1031,1032,"Happiness is the meaning and the purpose of life, the whole aim and end of human existence.",aristotle
2830,2831,spurious.,stalin
2837,2838,"Take some exercise, try to recover the look of a human being.",stalin
1635,1636,There is no passion to be found playing small - in settling for a life that is less than the one you are capable of living.,nelson mandela
384,385,Man selects only for his own good: Nature only for that of the being which she tends.,charles darwin
542,543,"Ignorance more frequently begets confidence than does knowledge: it is those who know little, not those who know much, who so positively assert that this or that problem will never be solved by science.",charles darwin
824,825,"Ignorance, the root and stem of every evil.",plato
2548,2549,"Obstacles do not exist to be surrendered to, but only to be broken.",adolf hitler
2285,2286,"Strong minds discuss ideas, average minds discuss events, weak minds discuss people.",socrates
1316,1317,"for he who grasps the unreal is bound; mark this, my companion.",adi shankaracharya
2882,2883,"Education is a weapon, whose effect depends on who holds it in his hands and at whom it is aimed.",stalin
2112,2113,"If you don't get what you want, you suffer; if you get what you don't want, you suffer; even when you get exactly what you want, you still suffer because you can't hold on to it forever. Your mind is your predicament. It wants to be free of change. Free of pain, free of the obligations of life and death. But change is law and no amount of pretending will alter that reality.",socrates
1934,1935,To be radical is to grasp things by the root.,karl marx
2089,2090,"Contentment is natural wealth, luxury is artificial poverty.",socrates
2212,2213,"The hour of departure has arrived, and we go our separate ways, I to die, and you to live. Which of these two is better only God knows.",socrates
1391,1392,"All human beings, according to the conception of the Vedic seers, form the physical body of the Purusha, or Cosmic Person. The spiritual men form, as it were, his head, the warriors His arms, the merchants and traders His thighs and the labourers His feet. A healthy co-ordination among these four classes of people sustains the strength and the well-being of a society, as a harmony among the four principal physical parts insures the strength and well-being of a body. (p. 30)",adi shankaracharya
1785,1786,"Go on, get out! Last words are for fools who haven't said enough!",karl marx
256,257,"Feel nothing, know nothing, do nothing, have nothing, give up all to God, and say utterly, 'Thy will be done.' We only dream this bondage. Wake up and let it go.",swami vivekanand
476,477,"We can allow satellites, planets, suns, universe, nay whole systems of universe, to be governed by laws, but the smallest insect, we wish to be created at once by special act.",charles darwin
1109,1110,Learning is not child's play; we cannot learn without pain.,aristotle
2124,2125,Do not do to others what angers you if done to you by others.,socrates
1027,1028,"Excellence is never an accident. It is always the result of high intention, sincere effort, and intelligent execution; it represents the wise choice of many alternatives - choice, not chance, determines your destiny.",aristotle
1447,1448,Resentment is like drinking poison and then hoping it will kill your enemies.,nelson mandela
1425,1426,"Where renunciation and longing for liberation are weak, tranquillity and the other virtues are a mere appearance, like the mirage in the desert.",adi shankaracharya
2672,2673,"Education is a weapon, whose effect depends on who holds it in his hands and at whom it is aimed.",stalin
2710,2711,spurious.,stalin
340,341,The mystery of the beginning of all things is insoluble by us; and I for one must be content to remain an agnostic.,charles darwin
423,424,"Thus, from the war of nature, from famine and death, the most exalted object which we are capable of conceiving, namely, the production of the higher animals, directly follows. There is grandeur in this view of life, with its several powers, having been originally breathed into a few forms or into one; and that, whilst this planet has gone cycling on according to the fixed law of gravity, from so simple a beginning endless forms most beautiful and most wonderful have been, and are being, evolved.",charles darwin
269,270,"A fool may buy all the books in the world, and they will be in his library; but he will be able to read only those that he deserves to.",swami vivekanand
95,96,"All power is within you; you can do anything and everything. Believe in that, do not believe that you are weak; do not believe that you are half-crazy lunatics, as most of us do nowadays. You can do any thing and everything, without even the guidance of any one. Stand up and express the divinity within you.",swami vivekanand
761,762,One of the penalties of refusing to participate in politics is that you end up being governed by your inferiors.,plato
1807,1808,"The history of all hitherto existing society is the history of class struggles.Freeman and slave, patrician and plebeian, lord and serf, guildmaster and journeyman, in a word, oppressor and oppressed, stood in constant opposition to one another, carried on an uninterrupted, now hidden, now open fight, that each time ended, either in the revolutionary reconstitution of society at large, or in the common ruin of the contending classes.",karl marx
213,214,"In a day, when you don't come across any problems - you can be sure that you are travelling in a wrong path",swami vivekanand
365,366,We stopped looking for monsters under our bed when we realized that they were inside us.,charles darwin
2627,2628,The art of reading and studying consists in remembering the essentials and forgetting what is not essential.,adolf hitler
2114,2115,"Sometimes you put walls up not to keep people out, but to see who cares enough to break them down.",socrates
410,411,"There is grandeur in this view of life, with its several powers, having been originally breathed into a few forms or into one; and that, whilst this planet has gone cycling on according to the fixed law of gravity, from so simple a beginning endless forms most beautiful and most wonderful have been, and are being, evolved.",charles darwin
1570,1571,"Do not judge me by my successes, judge me by how many times I fell down and got back up again.",nelson mandela
1121,1122,"Happiness is the meaning and the purpose of life, the whole aim and end of human existence.",aristotle
661,662,"Every heart sings a song, incomplete, until another heart whispers back. Those who wish to sing always find a song. At the touch of a lover, everyone becomes a poet.",plato
803,804,Courage is knowing what not to fear.,plato
2417,2418,The art of reading and studying consists in remembering the essentials and forgetting what is not essential.,adolf hitler
941,942,"Happiness is the meaning and the purpose of life, the whole aim and end of human existence.",aristotle
1613,1614,I am the captain of my soul.,nelson mandela
229,230,Comfort is no test of truth. Truth is often far from being comfortable.,swami vivekanand
1112,1113,What is a friend? A single soul dwelling in two bodies.,aristotle
777,778,You should not honor men more than truth.,plato
2509,2510,"Instruction in world history in the so-called high schools is even today in a very sorry condition. Few teachers understand that the study of history can never be to learn historical dates and events by heart and recite them by rote; that what matters is not whether the child knows exactly when this battle or that was fought, when a general was born, or even when a monarch (usually a very insignificant one) came into the crown of his forefathers. No, by the living God, this is very unimportant. To 'learn' history means to seek and find the forces which are the causes leading to those effects which we subsequently perceive as historical events.",adolf hitler
1598,1599,"For to be free is not merely to cast off one's chains, but to live in a way that respects and enhances the freedom of others.",nelson mandela
703,704,The measure of a man is what he does with power.,plato
2317,2318,"To find yourself, think for yourself.",socrates
258,259,"Strength is Life, Weakness is Death.Expansion is Life, Contraction is Death.Love is Life, Hatred is Death.",swami vivekanand
1830,1831,"The philosophers have only interpreted the world, in various ways. The point, however, is to change it.These words are also inscribed upon his grave",karl marx
1716,1717,"No one is born hating another person because of the color of his skin, or his background, or his religion. People must learn to hate, and if they can learn to hate, they can be taught to love, for love comes more naturally to the human heart than its opposite.",nelson mandela
869,870,The beginning is the most important part of the work.,plato
319,320,But I am very poorly today & very stupid & I hate everybody & everything. One lives only to make blunders.,charles darwin
2887,2888,"I believe in only one thing, the power of human will.",stalin
447,448,"Nothing is easier than to admit in words the truth of the universal struggle for life, or more difficult--at least I have found it so--than constantly to bear this conclusion in mind.",charles darwin
1819,1820,"The ideas of the ruling class are in every epoch the ruling ideas, i.e. the class which is the ruling material force of society, is at the same time its ruling intellectual force. The class which has the means of material production at its disposal, has control at the same time over the means of mental production, so that thereby, generally speaking, the ideas of those who lack the means of mental production are subject to it. The ruling ideas are nothing more than the ideal expression of the dominant material relationships, the dominant material relationships grasped as ideas.",karl marx
2484,2485,"As in everything, nature is the best instructor.",adolf hitler
1940,1941,"...Great progress was evident in the last Congress of the American 'Labour Union' in that among other things, it treated working women with complete equality. While in this respect the English, and still more the gallant French, are burdened with a spirit of narrow-mindedness. Anybody who knows anything of history knows that great social changes are impossible without the feminine ferment. Social progress can be measured exactly by the social position of the fair sex (the ugly ones included).",karl marx
1401,1402,"Where renunciation and longing for liberation are weak, tranquillity and the other virtues are a mere appearance, like the mirage in the desert.",adi shankaracharya
2553,2554,"And I can fight only for something that I love, love only what I respect, and respect only what I at least know.",adolf hitler
1643,1644,I am the captain of my soul.,nelson mandela
892,893,Education is teaching our children to desire the right things.,plato
69,70,"Dare to be free, dare to go as far as your thought leads, and dare to carry that out in your life. ",swami vivekanand
1939,1940,"The ideas of the ruling class are in every epoch the ruling ideas, i.e. the class which is the ruling material force of society, is at the same time its ruling intellectual force. The class which has the means of material production at its disposal, has control at the same time over the means of mental production, so that thereby, generally speaking, the ideas of those who lack the means of mental production are subject to it. The ruling ideas are nothing more than the ideal expression of the dominant material relationships, the dominant material relationships grasped as ideas.",karl marx
501,502,"We must, however, acknowledge, as it seems to me, that man with all his noble qualities... still bears in his bodily frame the indelible stamp of his lowly origin.",charles darwin
1523,1524,I am the captain of my soul.,nelson mandela
2206,2207,"The secret of happiness, you see, is not found in seeking more, but in developing the capacity to enjoy less.",socrates
232,233,"Was there ever a more horrible blasphemy than the statement that all the knowledge of God is confined to this or that book? How dare men call God infinite, and yet try to compress Him within the covers of a little book!",swami vivekanand
1119,1120,A friend to all is a friend to none.,aristotle
1327,1328,"Who but the Atman is capable of removing the bonds of ignorance, passion and self-interested action?",adi shankaracharya
2309,2310,We cannot live better than in seeking to become better.,socrates
4,5,"The great secret of true success, of true happiness, is this: the man or woman who asks for no return, the perfectly unselfish person, is the most successful.",swami vivekanand
1658,1659,"For to be free is not merely to cast off one's chains, but to live in a way that respects and enhances the freedom of others.",nelson mandela
303,304,"Thus, from the war of nature, from famine and death, the most exalted object which we are capable of conceiving, namely, the production of the higher animals, directly follows. There is grandeur in this view of life, with its several powers, having been originally breathed into a few forms or into one; and that, whilst this planet has gone cycling on according to the fixed law of gravity, from so simple a beginning endless forms most beautiful and most wonderful have been, and are being, evolved.",charles darwin
968,969,"Anybody can become angry — that is easy, but to be angry with the right person and to the right degree and at the right time and for the right purpose, and in the right way — that is not within everybody's power and is not easy.",aristotle
2086,2087,"The secret of happiness, you see, is not found in seeking more, but in developing the capacity to enjoy less.",socrates
1530,1531,Education is the most powerful weapon which you can use to change the world.,nelson mandela
262,263,"Was there ever a more horrible blasphemy than the statement that all the knowledge of God is confined to this or that book? How dare men call God infinite, and yet try to compress Him within the covers of a little book!",swami vivekanand
1329,1330,"Where renunciation and longing for liberation are weak, tranquillity and the other virtues are a mere appearance, like the mirage in the desert.",adi shankaracharya
2630,2631,"If freedom is short of weapons, we must compensate with willpower.",adolf hitler
1261,1262,"Yeilding to the power of rajas, he identifies himself with the many motions and changes of the mind. Therefore he is swept hither and thither, now rising, now sinking, in the boundless ocean of birth and death, whose waters are full of the poison of sense-objects. This is indeed a miserable fate.",adi shankaracharya
1361,1362,"By fulfilling his dharma a man marches along the path of progress until he attains the supreme dharma of all beings, namely, the realization of Truth. (p. 28)",adi shankaracharya
2137,2138,"To find yourself, think for yourself.",socrates
237,238,"All differences in this world are of degree, and not of kind, because oneness is the secret of everything.",swami vivekanand
2608,2609,"Obstacles do not exist to be surrendered to, but only to be broken.",adolf hitler
989,990,Learning is not child's play; we cannot learn without pain.,aristotle
2886,2887,History has shown there are no invincible armies.,stalin
1967,1968,"In a higher phase of communist society, after the enslaving subordination of the individual to the division of labor, and therewith also the antithesis between mental and physical labor, has vanished; after labor has become not only a means of life but life's prime want; after the productive forces have also increased with the all-around development of the individual, and all the springs of co-operative wealth flow more abundantly—only then can the narrow horizon of bourgeois right be crossed in its entirety and society inscribe on its banners: From each according to his ability, to each according to his needs!",karl marx
1848,1849,"The bourgeoisie cannot exist without constantly revolutionizing the instruments of production, and thereby the relations of production, and with them the whole relations of society. Conservation of the old modes of production in unaltered forms, was, on the contrary, the first condition of existence for all earlier industrial classes. Constant revolutionizing of production, uninterrupted disturbance of all social conditions, everlasting uncertainty and agitation, distinguish the bourgeois epoch from all earlier ones. All fixed, fast-frozen relations, with their train of ancient and venerable prejudices and opinions, are swept away; all new-formed ones become antiquated before they can ossify. All that is solid melts into air, all that is holy is profaned, and man is at last compelled to face with sober senses his real conditions of life and his relations with his kind.",karl marx
700,701,Love is a serious mental disease.,plato
2768,2769,"When there's a person, there's a problem. When there's no person, there's no problem.",stalin
1640,1641,"A leader. . .is like a shepherd. He stays behind the flock, letting the most nimble go out ahead, whereupon the others follow, not realizing that all along they are being directed from behind.",nelson mandela
729,730,"Never discourage anyone...who continually makes progress, no matter how slow.",plato
1292,1293,"for he who grasps the unreal is bound; mark this, my companion.",adi shankaracharya
2715,2716,People who cast the votes decide nothing. The people who count the votes decide everything.,stalin
57,58,"All differences in this world are of degree, and not of kind, because oneness is the secret of everything.",swami vivekanand
147,148,"All differences in this world are of degree, and not of kind, because oneness is the secret of everything.",swami vivekanand
2921,2922,"It is difficult for me to imagine what personal liberty is enjoyed by an unemployed person, who goes about hungry, and cannot find employment.Real liberty can exist only where exploitation has been abolished, where there is no oppression of some by others, where there is no unemployment and poverty, where a man is not haunted by the fear of being tomorrow deprived of work, of home and of bread. Only in such a society is real, and not paper, personal and every other liberty possible.",stalin
2163,2164,"There is only one good, knowledge, and one evil, ignorance.",socrates
904,905,Hope is a waking dream.,aristotle
6,7,The greatest religion is to be true to your own nature. Have faith in yourselves.,swami vivekanand
370,371,The mystery of the beginning of all things is insoluble by us; and I for one must be content to remain an agnostic.,charles darwin
2380,2381,"The stronger must dominate and not mate with the weaker, which would signify the sacrifice of its own higher nature. Only the born weakling can look upon this principle as cruel, and if he does so it is merely because he is of a feebler nature and narrower mind; for if such a law did not direct the process of evolution then the higher development of organic life would not be conceivable at all.",adolf hitler
849,850,"Never discourage anyone...who continually makes progress, no matter how slow.",plato
243,244,"In a day, when you don't come across any problems - you can be sure that you are travelling in a wrong path",swami vivekanand
827,828,"...and when one of them meets the other half, the actual half of himself, whether he be a lover of youth or a lover of another sort, the pair are lost in an amazement of love and friendship and intimacy and one will not be out of the other's sight, as I may say, even for a moment...",plato
2022,2023,"Reason has always existed, but not always in a reasonable form.",karl marx
1766,1767,"For as soon as the distribution of labour comes into being, each man has a particular, exclusive sphere of activity, which is forced upon him and from which he cannot escape. He is a hunter, a fisherman, a herdsman, or a critical critic, and must remain so if he does not want to lose his means of livelihood; while in communist society, where nobody has one exclusive sphere of activity but each can become accomplished in any branch he wishes, society regulates the general production and thus makes it possible for me to do one thing today and another tomorrow, to hunt in the morning, fish in the afternoon, rear cattle in the evening, criticise after dinner, just as I have a mind, without ever becoming hunter, fisherman, herdsman or critic.",karl marx
1720,1721,"Do not judge me by my successes, judge me by how many times I fell down and got back up again.",nelson mandela
1552,1553,"May your choices reflect your hopes, not your fears.",nelson mandela
2371,2372,"Do not compare yourself to others. If you do so, you are insulting yourself.",adolf hitler
308,309,"It is not the strongest of the species that survives,not the most intelligent that survives.It is the one that is the most adaptable to change.",charles darwin
1755,1756,"Go on, get out! Last words are for fools who haven't said enough!",karl marx
1070,1071,Poverty is the parent of revolution and crime.,aristotle
372,373,"An American monkey, after getting drunk on brandy, would never touch it again, and thus is much wiser than most men.",charles darwin
913,914,"Patience is bitter, but its fruit is sweet.",aristotle
2331,2332,Employ your time in improving yourself by other men's writings so that you shall come easily by what others have labored hard for.,socrates
622,623,Education is teaching our children to desire the right things.,plato
528,529,"Besides love and sympathy, animals exhibit other qualities connected with the social instincts which in us would be called moral.",charles darwin
